RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location,Month,Year
887904,201376633,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,03/06/2013 12:27:00 PM,02/20/2013 12:27:00 PM,03/06/2013 12:27:00 PM,117XX BLOCK OF 17 AV NE,L,L1,700.4005,-122.309837341,47.714859009,"(47.714859009, -122.309837341)",3,2013
887906,201377228,1205,0,ROBBERY-STREET-WEAPON,1200,ROBBERY,03/06/2013 10:24:00 PM,03/06/2013 10:24:00 PM,03/06/2013 10:24:00 PM,6 AV / PINE ST,M,M2,8200.1002,-122.335372925,47.612136841,"(47.612136841, -122.335372925)",3,2013
1032514,2016294907,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,08/15/2016 12:15:00 PM,08/02/2016 12:00:00 AM,08/06/2016 04:00:00 PM,10XX BLOCK OF W RUFFNER ST,Q,Q2,5900.1033,-122.37084198,47.652252197,"(47.652252197, -122.37084198)",8,2016
1032515,2016305209,2308,0,THEFT-BUILDING,2300,OTHER PROPERTY,08/23/2016 06:37:00 PM,08/23/2016 06:37:00 PM,,12XX BLOCK OF BOYLSTON AV,E,E3,8400.2006,-122.323440552,47.612514496,"(47.612514496, -122.323440552)",8,2016
1032516,2016309352,2304,3,THEFT-AUTO PARTS,2300,OTHER PROPERTY,08/26/2016 07:07:00 PM,08/25/2016 10:00:00 PM,08/26/2016 06:00:00 AM,24XX BLOCK OF E MILLER ST,C,C2,6200.1043,-122.301193237,47.641716003,"(47.641716003, -122.301193237)",8,2016
1032517,2016308934,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,08/26/2016 12:55:00 PM,08/26/2016 11:15:00 AM,08/26/2016 12:50:00 PM,3XX BLOCK OF E THOMAS ST,E,E1,7402.1005,-122.327217102,47.620830536,"(47.620830536, -122.327217102)",8,2016
1032518,2016319399,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,09/03/2016 12:49:00 PM,09/03/2016 10:06:00 AM,,22XX BLOCK OF NE 88 ST,U,U1,2100.3008,-122.305015564,47.692108154,"(47.692108154, -122.305015564)",9,2016
887907,201376286,5015,1,WARRARR-FELONY,5000,WARRANT ARREST,03/06/2013 06:19:00 AM,03/06/2013 06:19:00 AM,,9 AV / PINE ST,M,M2,8200.1007,-122.332038879,47.613525391,"(47.613525391, -122.332038879)",3,2013
1032520,2016323879,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,09/06/2016 10:49:00 PM,09/06/2016 10:49:00 PM,,5XX BLOCK OF WALL ST,D,D2,7200.2008,-122.34487915,47.617687225,"(47.617687225, -122.34487915)",9,2016
887909,201376948,5015,1,WARRARR-FELONY,5000,WARRANT ARREST,03/06/2013 05:14:00 PM,03/06/2013 05:14:00 PM,,45XX BLOCK OF UNIVERSITY WY NE,U,U2,5301.2010,-122.313117981,47.662181854,"(47.662181854, -122.313117981)",3,2013
1032522,2016301139,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,08/20/2016 08:35:00 AM,08/19/2016 08:35:00 AM,08/19/2016 10:30:00 PM,FRANKLIN AV E / E BOSTON ST,D,D3,6600.2010,-122.324684143,47.638244629,"(47.638244629, -122.324684143)",8,2016
1032732,2016325292,2305,0,THEFT-CARPROWL,2300,CAR PROWL,09/07/2016 11:21:00 PM,09/07/2016 11:11:00 PM,09/07/2016 11:21:00 PM,98XX BLOCK OF 42 AV S,S,S1,11700.2013,-122.280708313,47.514446259,"(47.514446259, -122.280708313)",9,2016
1032733,2016324308,1304,0,ASSLT-AGG-GUN,1300,ASSAULT,09/07/2016 10:17:00 AM,09/07/2016 09:20:00 AM,,CALIFORNIA AV SW / SW ALASKA ST,W,W2,10500.4003,-122.386779785,47.561103821,"(47.561103821, -122.386779785)",9,2016
887910,201376772,2610,0,FRAUD-IDENTITY THEFT,2600,FRAUD,03/06/2013 02:44:00 PM,09/23/2012 03:00:00 PM,01/01/2013 04:00:00 PM,65XX BLOCK OF 43 AV NE,U,U3,3900.1025,-122.282241821,47.676692963,"(47.676692963, -122.282241821)",3,2013
1032735,2016304659,2399,3,THEFT-OTH,2300,OTHER PROPERTY,08/23/2016 01:00:00 PM,08/23/2016 01:00:00 PM,,77XX BLOCK OF 46 AV S,S,S2,11101.3008,-122.275314331,47.533008575,"(47.533008575, -122.275314331)",8,2016
1032736,2016326931,1316,5,THREATS-WEAPON,1300,THREATS,09/09/2016 10:11:00 AM,09/09/2016 10:10:00 AM,,90XX BLOCK OF RAINIER AV S,S,S3,11800.6016,-122.269989014,47.522815704,"(47.522815704, -122.269989014)",9,2016
1032737,2016325643,2299,1,BURGLARY-SECURE PARKING-NONRES,2200,BURGLARY,09/08/2016 09:14:00 AM,08/02/2016 06:00:00 PM,08/31/2016 12:00:00 PM,11XX BLOCK OF WESTERN AV,K,K1,8100.1024,-122.3383255,47.605300903,"(47.605300903, -122.3383255)",9,2016
1032738,2016325969,1202,2,ROBBERY-BUSINESS-WEAPON,1200,ROBBERY,09/08/2016 01:53:00 PM,09/08/2016 01:53:00 PM,,123XX BLOCK OF 15 AV NE,L,L1,700.3004,-122.312644958,47.718509674,"(47.718509674, -122.312644958)",9,2016
1032739,2016325627,2308,0,THEFT-BUILDING,2300,OTHER PROPERTY,09/08/2016 08:59:00 AM,09/08/2016 08:59:00 AM,,38XX BLOCK OF RAINIER AV S,R,R2,10100.5018,-122.289924622,47.568881989,"(47.568881989, -122.289924622)",9,2016
1032740,2016326585,1204,0,ROBBERY-STREET-GUN,1200,ROBBERY,09/09/2016 01:12:00 AM,09/09/2016 12:52:00 AM,09/09/2016 12:52:00 AM,5XX BLOCK OF 3 AV,K,K2,8100.2042,-122.331085205,47.602413177,"(47.602413177, -122.331085205)",9,2016
1032741,2016314835,1313,0,ASSLT-NONAGG,1300,ASSAULT,08/30/2016 08:44:00 PM,08/30/2016 08:40:00 PM,08/30/2016 08:40:00 PM,3XX BLOCK OF PONTIUS AV N,D,D3,7300.1027,-122.331710815,47.621391296,"(47.621391296, -122.331710815)",8,2016
1032742,2016326324,5016,1,VIOL-COURT ORDER,5000,VIOLATION OF COURT ORDER,09/08/2016 07:36:00 PM,09/08/2016 07:36:00 PM,09/08/2016 07:36:00 PM,40XX BLOCK OF W EMERSON ST,Q,Q1,5600.1008,-122.408416748,47.654090881,"(47.654090881, -122.408416748)",9,2016
1032743,2016325675,1316,5,THREATS-WEAPON,1300,THREATS,09/08/2016 09:28:00 AM,09/08/2016 02:00:00 AM,,64XX BLOCK OF ROOSEVELT WY NE,U,U1,3600.1022,-122.317359924,47.675403595,"(47.675403595, -122.317359924)",9,2016
1032744,2016326652,1202,2,ROBBERY-BUSINESS-WEAPON,1200,ROBBERY,09/09/2016 03:51:00 AM,09/09/2016 03:51:00 AM,,43XX BLOCK OF SW ADMIRAL WY,W,W1,9600.2012,-122.387199402,47.581188202,"(47.581188202, -122.387199402)",9,2016
1032745,2016326299,2302,0,THEFT-PRSNATCH,2300,PURSE SNATCH,09/08/2016 11:16:00 PM,09/08/2016 12:00:00 PM,09/08/2016 01:00:00 PM,9XX BLOCK OF N 85 ST,N,N3,1800.2010,-122.345863342,47.690567017,"(47.690567017, -122.345863342)",9,2016
887912,201376795,1316,3,THREATS-KILL,1300,THREATS,03/06/2013 03:09:00 PM,03/06/2013 09:45:00 AM,,48XX BLOCK OF CALIFORNIA AV SW,W,W2,10500.4011,-122.386856079,47.558410645,"(47.558410645, -122.386856079)",3,2013
1032747,2016326251,X,21,DISTURBANCE-OTH,X,DISTURBANCE,09/08/2016 06:46:00 PM,09/08/2016 06:09:00 PM,,54XX BLOCK OF DELRIDGE WY SW,F,F1,10701.1000,-122.362976074,47.552818298,"(47.552818298, -122.362976074)",9,2016
